PESO INICIAL;PESO FINAL;CEP INICIAL;CEP FINAL;VALOR DO FRETE;TEMPO DE ENTREGA
;35.00;8500001;8549999;70,77;5
;50.00;8500001;8549999;83,12;5
;70.00;8500001;8549999;92,58;5
;10.00;8550001;8569999;50,12;10
;20.00;8550001;8569999;60,32;10
;30.00;8550001;8569999;60,32;10
;40.00;8550001;8569999;80,03;10
;50.00;8550001;8569999;80,03;10
;60.00;8550001;8569999;99,75;10
;70.00;8550001;8569999;99,75;10
;80.00;8550001;8569999;115,85;10
;90.00;8550001;8569999;115,85;10
;100.00;8550001;8569999;115,85;10
;10.00;8550001;8569999;63,31;5
;20.00;8550001;8569999;75,29;5
;35.00;8550001;8569999;92,3;5
;50.00;8550001;8569999;108,4;5
;70.00;8550001;8569999;120,7;5
;10.00;8570001;8599999;50,12;10
;20.00;8570001;8599999;60,32;10
;30.00;8570001;8599999;60,32;10
;40.00;8570001;8599999;80,03;10
;50.00;8570001;8599999;80,03;10
;60.00;8570001;8599999;99,75;10
;70.00;8570001;8599999;99,75;10
;80.00;8570001;8599999;115,85;10
;90.00;8570001;8599999;115,85;10
;100.00;8570001;8599999;115,85;10
;10.00;8570001;8599999;48,53;5
;20.00;8570001;8599999;57,72;5
;35.00;8570001;8599999;70,77;5
;50.00;8570001;8599999;83,12;5
;70.00;8570001;8599999;92,58;5
;10.00;8600001;8699999;55,87;10
;20.00;8600001;8699999;64,05;10
;30.00;8600001;8699999;64,05;10
;40.00;8600001;8699999;85,47;10
;50.00;8600001;8699999;85,47;10
;60.00;8600001;8699999;102,6;10
;70.00;8600001;8699999;102,6;10
;80.00;8600001;8699999;117,42;10
;90.00;8600001;8699999;117,42;10
;100.00;8600001;8699999;117,42;10
;10.00;8600001;8699999;48,53;5
;20.00;8600001;8699999;57,72;5
;35.00;8600001;8699999;70,77;5
;50.00;8600001;8699999;83,12;5
;70.00;8600001;8699999;92,58;5
;10.00;8700001;8899999;55,87;10
;20.00;8700001;8899999;64,05;10
;30.00;8700001;8899999;64,05;10
;40.00;8700001;8899999;85,47;10
;50.00;8700001;8899999;85,47;10
;60.00;8700001;8899999;102,6;10
;70.00;8700001;8899999;102,6;10
;80.00;8700001;8899999;117,42;10
;90.00;8700001;8899999;117,42;10
;100.00;8700001;8899999;117,42;10
;10.00;8700001;8899999;63,31;5
;20.00;8700001;8899999;75,29;5
;35.00;8700001;8899999;92,3;5
;50.00;8700001;8899999;108,4;5
;70.00;8700001;8899999;120,7;5
;10.00;8900000;8939999;55,87;16
;20.00;8900000;8939999;64,05;16
;30.00;8900000;8939999;64,05;16
;40.00;8900000;8939999;85,47;16
;50.00;8900000;8939999;85,47;16
;60.00;8900000;8939999;102,6;16
;70.00;8900000;8939999;102,6;16
;80.00;8900000;8939999;117,42;16
;90.00;8900000;8939999;117,42;16
;100.00;8900000;8939999;117,42;16
;10.00;8900000;8939999;48,53;4
;20.00;8900000;8939999;57,72;4
;35.00;8900000;8939999;70,77;4
;50.00;8900000;8939999;83,12;4
;70.00;8900000;8939999;92,58;4
;10.00;8940000;8969999;55,87;16
;20.00;8940000;8969999;64,05;16
;30.00;8940000;8969999;64,05;16
;40.00;8940000;8969999;85,47;16
;50.00;8940000;8969999;85,47;16
;60.00;8940000;8969999;102,6;16
;70.00;8940000;8969999;102,6;16
;80.00;8940000;8969999;117,42;16
;90.00;8940000;8969999;117,42;16
;100.00;8940000;8969999;117,42;16
;10.00;8940000;8969999;48,53;7
;20.00;8940000;8969999;57,72;7
;35.00;8940000;8969999;70,77;7
;50.00;8940000;8969999;83,12;7
;70.00;8940000;8969999;92,58;7
;10.00;8970000;8999999;55,87;16
;20.00;8970000;8999999;64,05;16
;30.00;8970000;8999999;64,05;16
;40.00;8970000;8999999;85,47;16
;50.00;8970000;8999999;85,47;16
;60.00;8970000;8999999;102,6;16
;70.00;8970000;8999999;102,6;16
;80.00;8970000;8999999;117,42;16
;90.00;8970000;8999999;117,42;16
;100.00;8970000;8999999;117,42;16
;10.00;8970000;8999999;48,53;7
;20.00;8970000;8999999;57,72;7
;35.00;8970000;8999999;70,77;7
;50.00;8970000;8999999;83,12;7
;70.00;8970000;8999999;92,58;7
;10.00;9000001;9299999;48,53;15
;20.00;9000001;9299999;57,72;15
;35.00;9000001;9299999;70,77;15
;50.00;9000001;9299999;83,12;15
;70.00;9000001;9299999;92,58;15
;10.00;9300001;9399999;55,87;10
;20.00;9300001;9399999;64,05;10
;30.00;9300001;9399999;64,05;10
;40.00;9300001;9399999;85,47;10
;50.00;9300001;9399999;85,47;10
;60.00;9300001;9399999;102,6;10
;70.00;9300001;9399999;102,6;10
;80.00;9300001;9399999;117,42;10
;90.00;9300001;9399999;117,42;10
;100.00;9300001;9399999;117,42;10
;10.00;9300001;9399999;63,31;5
;20.00;9300001;9399999;75,29;5
;35.00;9300001;9399999;92,3;5
;50.00;9300001;9399999;108,4;5
;70.00;9300001;9399999;120,7;5
;10.00;9400001;9449999;55,87;10
;20.00;9400001;9449999;64,05;10
;30.00;9400001;9449999;64,05;10
;40.00;9400001;9449999;85,47;10
;50.00;9400001;9449999;85,47;10
;60.00;9400001;9449999;102,6;10
;70.00;9400001;9449999;102,6;10
;80.00;9400001;9449999;117,42;10
;90.00;9400001;9449999;117,42;10
;100.00;9400001;9449999;117,42;10
;10.00;9400001;9449999;63,31;5
;20.00;9400001;9449999;75,29;5
;35.00;9400001;9449999;92,3;5
;50.00;9400001;9449999;108,4;5
;70.00;9400001;9449999;120,7;5
;10.00;9450000;9499999;55,87;10
;20.00;9450000;9499999;64,05;10
;30.00;9450000;9499999;64,05;10
;40.00;9450000;9499999;85,47;10
;50.00;9450000;9499999;85,47;10
;60.00;9450000;9499999;102,6;10
;70.00;9450000;9499999;102,6;10
;80.00;9450000;9499999;117,42;10
;90.00;9450000;9499999;117,42;10
;100.00;9450000;9499999;117,42;10
;10.00;9450000;9499999;63,31;5
;20.00;9450000;9499999;75,29;5
;35.00;9450000;9499999;92,3;5
;50.00;9450000;9499999;108,4;5
;70.00;9450000;9499999;120,7;5
;10.00;9500001;9599999;55,87;10
;20.00;9500001;9599999;64,05;10
;30.00;9500001;9599999;64,05;10
;40.00;9500001;9599999;85,47;10
;50.00;9500001;9599999;85,47;10
;60.00;9500001;9599999;102,6;10
;70.00;9500001;9599999;102,6;10
;80.00;9500001;9599999;117,42;10
;90.00;9500001;9599999;117,42;10
;100.00;9500001;9599999;117,42;10
;10.00;9500001;9599999;48,53;5
;20.00;9500001;9599999;57,72;5
;35.00;9500001;9599999;70,77;5
;50.00;9500001;9599999;83,12;5
;70.00;9500001;9599999;92,58;5
;10.00;9600001;9899999;55,87;10
;20.00;9600001;9899999;64,05;10
;30.00;9600001;9899999;64,05;10
;40.00;9600001;9899999;85,47;10
;50.00;9600001;9899999;85,47;10
;60.00;9600001;9899999;102,6;10
;70.00;9600001;9899999;102,6;10
;80.00;9600001;9899999;117,42;10
;90.00;9600001;9899999;117,42;10
;100.00;9600001;9899999;117,42;10
;10.00;9600001;9899999;48,53;5
;20.00;9600001;9899999;57,72;5
;35.00;9600001;9899999;70,77;5
;50.00;9600001;9899999;83,12;5
;70.00;9600001;9899999;92,58;5
;10.00;9900001;9999999;55,87;10
;20.00;9900001;9999999;64,05;10
;30.00;9900001;9999999;64,05;10
;40.00;9900001;9999999;85,47;10
;50.00;9900001;9999999;85,47;10
;60.00;9900001;9999999;102,6;10
;70.00;9900001;9999999;102,6;10
;80.00;9900001;9999999;117,42;10
;90.00;9900001;9999999;117,42;10
;100.00;9900001;9999999;117,42;10
;10.00;9900001;9999999;48,53;6
;20.00;9900001;9999999;57,72;6
;35.00;9900001;9999999;70,77;6
;50.00;9900001;9999999;83,12;6
;70.00;9900001;9999999;92,58;6
;10.00;11000001;11249999;55,87;16
